stop_id,stop_code,stop_name,stop_lat,stop_lon,latlng
243,243,Rio Grande/15th,30.278965999999997,-97.746339,"30.278965999999997,-97.746339"
466,466,8740 Lamar/Payton Gin,30.356809000000002,-97.701066,"30.356809000000002,-97.701066"
467,467,Fairfield Station (SB),30.355296000000003,-97.703128,"30.355296000000003,-97.703128"
468,468,Lamar/Thurmond,30.353139000000002,-97.706082,"30.353139000000002,-97.706082"
469,469,8320 Lamar/Meadowlark,30.352256,-97.707295,"30.352256,-97.707295"
471,471,7720 Lamar/Stobaugh,30.346044,-97.713966,"30.346044,-97.713966"
472,472,7520 Lamar/Morrow,30.343163,-97.715653,"30.343163,-97.715653"
474,474,6814 Lamar/Justin,30.336204,-97.72000600000001,"30.336204,-97.72000600000001"
475,475,6600 Lamar/Brentwood,30.334109,-97.721322,"30.334109,-97.721322"
476,476,6200 Lamar/Denson,30.330425,-97.723636,"30.330425,-97.723636"
480,480,5528 Lamar/Koenig,30.324246999999996,-97.727528,"30.324246999999996,-97.727528"
483,483,5106 Lamar/51st,30.319051,-97.730805,"30.319051,-97.730805"
484,484,Triangle Station (SB),30.314629999999998,-97.732523,"30.314629999999998,-97.732523"
485,485,4500 Guadalupe/45th,30.311163,-97.732958,"30.311163,-97.732958"
486,486,Guadalupe/43rd Street,30.308831,-97.73439499999999,"30.308831,-97.73439499999999"
487,487,Guadalupe/41st Street,30.306703000000002,-97.73575600000001,"30.306703000000002,-97.73575600000001"
489,489,Guadalupe/Maiden,30.301674,-97.73895999999999,"30.301674,-97.73895999999999"
490,490,Guadalupe/34th Street,30.300456,-97.73970899999999,"30.300456,-97.73970899999999"
494,494,Guadalupe/27th Street,30.292196999999998,-97.74131,"30.292196999999998,-97.74131"
497,497,UT West Mall Station (SB),30.286064,-97.741815,"30.286064,-97.741815"
498,498,Guadalupe/W. 21st Street,30.283384,-97.742081,"30.283384,-97.742081"
501,501,Guadalupe/16th Street,30.278962,-97.742708,"30.278962,-97.742708"
506,506,11th/Congress,30.2727,-97.741376,"30.2727,-97.741376"
517,517,612 Congress/Riverside,30.255384999999997,-97.747685,"30.255384999999997,-97.747685"
522,522,2020 Congress/Crockett,30.243058,-97.752263,"30.243058,-97.752263"
524,524,2300 Congress/College,30.240333000000003,-97.752905,"30.240333000000003,-97.752905"
526,526,2622 Congress/Cumberland,30.235695,-97.756374,"30.235695,-97.756374"
527,527,2918 Congress/La Vista,30.232590000000002,-97.75853000000001,"30.232590000000002,-97.75853000000001"
529,529,Congress/Pickle,30.226896000000004,-97.761935,"30.226896000000004,-97.761935"
531,531,4210 Congress/Radam,30.220763,-97.765411,"30.220763,-97.765411"
543,543,4722 Congress/Sheraton,30.214747999999997,-97.76923199999999,"30.214747999999997,-97.76923199999999"
545,545,5300 Congress/Ramble,30.208685,-97.773108,"30.208685,-97.773108"
548,548,6220 Congress/North Bluff,30.199040999999998,-97.776595,"30.199040999999998,-97.776595"
550,550,115 William Cannon/Circle S,30.192664,-97.77784100000001,"30.192664,-97.77784100000001"
551,551,409 William Cannon/Circle S,30.192082,-97.776037,"30.192082,-97.776037"
552,552,601 William Cannon/Circle S,30.191387,-97.77353000000001,"30.191387,-97.77353000000001"
553,553,Nelms/Bluff Springs,30.192738000000002,-97.765327,"30.192738000000002,-97.765327"
554,554,Bluff Springs/William Cannon,30.189427000000002,-97.76787900000001,"30.189427000000002,-97.76787900000001"
555,555,412 William Cannon/North Bluff,30.191772999999998,-97.774139,"30.191772999999998,-97.774139"
556,556,110 William Cannon/Circle S,30.192971000000004,-97.777955,"30.192971000000004,-97.777955"
558,558,6319 Congress/Circle S,30.197391999999997,-97.77690799999999,"30.197391999999997,-97.77690799999999"
559,559,Little Texas Station (NB),30.202145,-97.775515,"30.202145,-97.775515"
560,560,5405 Congress/Mockingbird,30.207107,-97.773733,"30.207107,-97.773733"
568,568,Congress/Alpine,30.228247999999997,-97.76094300000001,"30.228247999999997,-97.76094300000001"
571,571,2705 Congress/Cumberland,30.235346999999997,-97.75633,"30.235346999999997,-97.75633"
573,573,2203 Congress/Live Oak,30.241689,-97.752423,"30.241689,-97.752423"
574,574,1901 Congress/Mary,30.245024,-97.751212,"30.245024,-97.751212"
576,576,Congress/The Circle,30.251531,-97.748789,"30.251531,-97.748789"
577,577,611 Congress/Academy,30.255340000000004,-97.74739,"30.255340000000004,-97.74739"
590,590,Lavaca/12th,30.274408,-97.742995,"30.274408,-97.742995"
591,591,Capitol Station (NB),30.275586999999998,-97.742558,"30.275586999999998,-97.742558"
593,593,Lavaca/15th,30.277383,-97.74189399999999,"30.277383,-97.74189399999999"
